EvaluationID,StudentID,FacultyID,EvaluationDate,Criterion,Score,ShowMarks,ImprovementNote
PRE-0001-1,STU-0001,FAC-002,2026-02-05,Content clarity,65.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-1,STU-0001,FAC-002,2026-02-05,Technical depth,77.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-1,STU-0001,FAC-002,2026-02-05,Delivery & confidence,65.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-1,STU-0001,FAC-002,2026-02-05,Visual design,71.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-1,STU-0001,FAC-002,2026-02-05,Question handling,79.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-2,STU-0001,FAC-002,2026-03-12,Content clarity,60.4,No,Improve pacing and use one clearer real-world example.
PRE-0001-2,STU-0001,FAC-002,2026-03-12,Technical depth,49.7,No,Improve pacing and use one clearer real-world example.
PRE-0001-2,STU-0001,FAC-002,2026-03-12,Delivery & confidence,42.4,No,Improve pacing and use one clearer real-world example.
PRE-0001-2,STU-0001,FAC-002,2026-03-12,Visual design,44.0,No,Improve pacing and use one clearer real-world example.
PRE-0001-2,STU-0001,FAC-002,2026-03-12,Question handling,52.7,No,Improve pacing and use one clearer real-world example.
PRE-0001-3,STU-0001,FAC-002,2026-04-16,Content clarity,52.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-3,STU-0001,FAC-002,2026-04-16,Technical depth,63.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-3,STU-0001,FAC-002,2026-04-16,Delivery & confidence,50.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-3,STU-0001,FAC-002,2026-04-16,Visual design,61.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0001-3,STU-0001,FAC-002,2026-04-16,Question handling,51.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-1,STU-0002,FAC-003,2026-02-05,Content clarity,73.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-1,STU-0002,FAC-003,2026-02-05,Technical depth,67.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-1,STU-0002,FAC-003,2026-02-05,Delivery & confidence,79.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-1,STU-0002,FAC-003,2026-02-05,Visual design,65.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-1,STU-0002,FAC-003,2026-02-05,Question handling,67.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-2,STU-0002,FAC-003,2026-03-12,Content clarity,69.0,No,Improve pacing and use one clearer real-world example.
PRE-0002-2,STU-0002,FAC-003,2026-03-12,Technical depth,66.4,No,Improve pacing and use one clearer real-world example.
PRE-0002-2,STU-0002,FAC-003,2026-03-12,Delivery & confidence,75.6,No,Improve pacing and use one clearer real-world example.
PRE-0002-2,STU-0002,FAC-003,2026-03-12,Visual design,80.8,No,Improve pacing and use one clearer real-world example.
PRE-0002-2,STU-0002,FAC-003,2026-03-12,Question handling,68.8,No,Improve pacing and use one clearer real-world example.
PRE-0002-3,STU-0002,FAC-003,2026-04-16,Content clarity,57.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-3,STU-0002,FAC-003,2026-04-16,Technical depth,65.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-3,STU-0002,FAC-003,2026-04-16,Delivery & confidence,74.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-3,STU-0002,FAC-003,2026-04-16,Visual design,77.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0002-3,STU-0002,FAC-003,2026-04-16,Question handling,70.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-1,STU-0003,FAC-004,2026-02-05,Content clarity,61.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-1,STU-0003,FAC-004,2026-02-05,Technical depth,62.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-1,STU-0003,FAC-004,2026-02-05,Delivery & confidence,58.6,Yes,Improve pacing and use one clearer real-world example.
